,trial_id,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,boosting,learning_rate,min_child_samples,n_estimators,num_leaves,fail_reason
55,55,TrialState.COMPLETE,2.0109751515103262,2018-12-12 23:32:18.158301,2018-12-12 23:32:20.714694,goss,0.00013532552194019503,30,419,27,
56,56,TrialState.COMPLETE,1.9851023247713666,2018-12-12 23:32:20.733583,2018-12-12 23:32:23.223094,goss,0.0019804123362506055,31,330,46,
57,57,TrialState.COMPLETE,2.0081593856984523,2018-12-12 23:32:23.240627,2018-12-12 23:32:24.610007,gbdt,0.0002464807974296313,41,247,58,
58,58,TrialState.COMPLETE,1.9684310924296995,2018-12-12 23:32:24.627852,2018-12-12 23:32:25.814350,goss,0.0014620076754082406,44,233,58,
59,59,TrialState.COMPLETE,1.9627030773840097,2018-12-12 23:32:25.832216,2018-12-12 23:32:29.976045,goss,0.0006657309692067834,35,971,4,
60,60,TrialState.COMPLETE,6.09617930787349,2018-12-12 23:32:29.995862,2018-12-12 23:32:37.610375,dart,3.886605240512654e-06,14,973,3,
61,61,TrialState.COMPLETE,1.9991960447739885,2018-12-12 23:32:37.634339,2018-12-12 23:32:40.899227,goss,8.695346736710557e-05,22,993,3,
62,62,TrialState.COMPLETE,1.9999669607737125,2018-12-12 23:32:40.916722,2018-12-12 23:32:43.375076,goss,0.0007632857806509481,33,936,2,
63,63,TrialState.COMPLETE,1.9713262868615498,2018-12-12 23:32:43.395350,2018-12-12 23:32:47.694471,gbdt,0.000262925813047808,38,975,7,
64,64,TrialState.COMPLETE,1.9752662471586375,2018-12-12 23:32:47.714094,2018-12-12 23:32:49.899788,goss,0.004015041800835634,46,963,3,
65,65,TrialState.COMPLETE,1.9542242460792252,2018-12-12 23:32:49.920799,2018-12-12 23:32:54.932753,goss,0.0006057059699494305,45,951,3,
66,66,TrialState.COMPLETE,1.9793054765104015,2018-12-12 23:32:54.951644,2018-12-12 23:32:59.472409,goss,0.005287959203509661,36,970,3,
67,67,TrialState.COMPLETE,2.0351201506530154,2018-12-12 23:32:59.504206,2018-12-12 23:33:08.149839,goss,0.0026816979227292123,54,988,2,
68,68,TrialState.COMPLETE,1.9912913224604474,2018-12-12 23:33:08.178681,2018-12-12 23:33:12.084477,goss,0.0016897468867185337,49,938,5,
69,69,TrialState.COMPLETE,2.032825539249065,2018-12-12 23:33:12.109607,2018-12-12 23:33:14.875781,goss,0.001670257507980767,45,921,2,
70,70,TrialState.COMPLETE,2.035590270081472,2018-12-12 23:33:14.897933,2018-12-12 23:33:17.023987,goss,0.002718542492871415,55,997,2,
71,71,TrialState.COMPLETE,1.997281456914988,2018-12-12 23:33:17.048095,2018-12-12 23:33:19.792669,goss,0.00012785331884055458,52,989,2,
72,72,TrialState.FAIL,,2018-12-12 23:33:19.817464,,goss,0.0010056525218061633,52,986,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
73,73,TrialState.COMPLETE,1.96555121468061,2018-12-12 23:33:19.932952,2018-12-12 23:33:23.906940,goss,0.0007454260302885712,54,973,5,
74,74,TrialState.COMPLETE,1.9934121035320573,2018-12-12 23:33:23.927870,2018-12-12 23:33:31.254126,goss,0.00020641667219668437,27,1000,7,
75,75,TrialState.COMPLETE,1.9771479089940889,2018-12-12 23:33:31.275698,2018-12-12 23:33:35.049374,goss,0.00021300787010739144,31,998,3,
76,76,TrialState.FAIL,,2018-12-12 23:33:35.075989,,goss,0.0005835856095787154,37,947,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
77,77,TrialState.COMPLETE,2.0043224148933385,2018-12-12 23:33:35.194410,2018-12-12 23:33:37.880347,goss,0.001694726567894343,36,984,2,
78,78,TrialState.COMPLETE,5.802388471429486,2018-12-12 23:33:37.904108,2018-12-12 23:33:50.797423,dart,0.0002493035326210985,42,990,7,
79,79,TrialState.COMPLETE,1.9861480692667839,2018-12-12 23:33:50.823099,2018-12-12 23:33:54.359777,goss,0.0011008471534265812,41,1000,3,
80,80,TrialState.COMPLETE,1.9857263843139683,2018-12-12 23:33:54.385800,2018-12-12 23:33:58.728087,goss,0.00024811041446374025,43,974,2,
81,81,TrialState.COMPLETE,1.9662271045291704,2018-12-12 23:33:58.764945,2018-12-12 23:34:03.943613,goss,0.0004080259605833316,46,985,5,
82,82,TrialState.COMPLETE,2.038758957517907,2018-12-12 23:34:03.970994,2018-12-12 23:34:06.722771,gbdt,0.0011032766524124334,49,960,2,
83,83,TrialState.COMPLETE,5.814295036190395,2018-12-12 23:34:06.744683,2018-12-12 23:34:17.792929,dart,0.00021577205956045103,48,925,5,
84,84,TrialState.COMPLETE,1.985919844734126,2018-12-12 23:34:17.815480,2018-12-12 23:34:21.366238,goss,0.0004922185142197917,51,982,2,
85,85,TrialState.COMPLETE,1.9829502888286974,2018-12-12 23:34:21.392622,2018-12-12 23:34:24.258787,goss,0.00030935332237318994,49,968,2,
86,86,TrialState.COMPLETE,1.9599629666729108,2018-12-12 23:34:24.281732,2018-12-12 23:34:28.185883,goss,0.0006678240756959075,51,978,4,
87,87,TrialState.COMPLETE,2.0035848153294813,2018-12-12 23:34:28.240216,2018-12-12 23:34:31.709146,gbdt,9.601150722793599e-05,37,989,2,
88,88,TrialState.COMPLETE,1.9851806524796678,2018-12-12 23:34:31.732293,2018-12-12 23:34:34.398182,goss,0.0002557115934830244,38,981,2,
89,89,TrialState.FAIL,,2018-12-12 23:34:34.422088,,dart,0.00035566979543510133,41,906,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
90,90,TrialState.COMPLETE,5.708744955677302,2018-12-12 23:34:34.536354,2018-12-12 23:34:41.355235,dart,0.0003190919978608966,43,932,2,
91,91,TrialState.COMPLETE,1.983662884751719,2018-12-12 23:34:41.378984,2018-12-12 23:34:44.290116,goss,0.0003037603293439624,42,940,2,
92,92,TrialState.FAIL,,2018-12-12 23:34:44.317261,,goss,0.0007025472765254356,42,991,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
93,93,TrialState.COMPLETE,1.955428901277052,2018-12-12 23:34:44.447917,2018-12-12 23:34:48.358208,goss,0.0004568485403553957,46,998,3,
94,94,TrialState.COMPLETE,2.0253092623624176,2018-12-12 23:34:48.415551,2018-12-12 23:34:52.986639,gbdt,4.509865111737969e-06,89,968,5,
95,95,TrialState.COMPLETE,1.9894524178669506,2018-12-12 23:34:53.020904,2018-12-12 23:34:59.879208,goss,0.00015579898118211165,78,992,3,
96,96,TrialState.COMPLETE,5.823413804204439,2018-12-12 23:34:59.906803,2018-12-12 23:35:09.372765,dart,0.00021627917298269603,69,948,16,
97,97,TrialState.FAIL,,2018-12-12 23:35:09.397809,,goss,0.00032881113372058607,63,981,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
98,98,TrialState.FAIL,,2018-12-12 23:35:09.513926,,goss,0.00032692777291835586,61,995,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
99,99,TrialState.FAIL,,2018-12-12 23:35:09.611398,,goss,0.0003728645693916775,64,979,1,"Setting trial status as TrialState.FAIL because of the following error: LightGBMError('Check failed: num_leaves >1 at /__w/1/s/python-package/compile/src/io/config_auto.cpp, line 281 .\n',)"
